institutionCode,collectionCode,datasetName,basisOfRecord,individualCount,occurrenceStatus,occurrenceRemarks,year,month,day,countryCode,stateProvince,county,locality,,,,,,,,identificationID,issue,mediaType,species,country
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,11,19,US,Illinois,Cook Co,Chicago, 230 W Monroe,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,3,19,US,Illinois,Cook Co,Chicago, McCormick Place,,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,3,22,US,Illinois,Cook Co,Chicago, Daley Center,,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,4,8,US,Illinois,Cook Co,Chicago, Fairmont Hotel,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,10,28,US,Illinois,Cook Co,Chicago, 743 N Wells,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,10,20,US,Illinois,Cook Co,Chicago, Lincoln Park,,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,3,28,US,Illinois,Cook Co,Chicago, 200 S Wacker,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,11,1,US,Illinois,Cook Co,Chicago, 219 S Dearborn,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,11,18,US,Illinois,Cook Co,Chicago, 311 S Wacker,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,3,25,US,Illinois,Cook Co,Evanston, Sherman, between Davis and Church,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,3,30,US,Illinois,Cook Co,Chicago, 10 S Riverside,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,5,1,US,Illinois,Cook Co,Chicago, 311 S Wacker,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,4,29,US,Illinois,Cook Co,Chicago, 303 E Wacker,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,3,31,US,Illinois,Cook Co,Chicago, 110 E Delaware,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,3,18,US,Illinois,Cook Co,Chicago, 954 W Washington,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,3,16,US,Illinois,Cook Co,Chicago, Sears,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,3,23,US,Illinois,Cook Co,Chicago, 1 W Madison,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,3,17,US,Illinois,Cook Co,Evanston, Ridge and Dempster,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,3,21,US,Illinois,Cook Co,Chicago, 500 W Superior,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,4,5,US,Illinois,Cook Co,Chicago, 120 E Erie,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,10,29,US,Illinois,Cook Co,Chicago, 500 W Monroe,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,4,13,US,Illinois,Cook Co,Chicago, 800 S Wells,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,5,27,US,Illinois,Cook Co,Chicago, 205 S LaSalle,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,5,26,US,Illinois,Cook Co,Chicago, 370 N Desplaines,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,4,2,US,Illinois,Cook Co,Chicago, 500 W Superior,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,4,26,US,Illinois,Cook Co,Chicago, Chicago and LaSalle,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,11,7,US,Illinois,Cook Co,Chicago, 321 N Clark,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,3,19,US,Illinois,Cook Co,Chicago, McCormick Place,,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,11,18,US,Illinois,Cook Co,Chicago, 18 E Cullerton,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,10,21,US,Illinois,Cook Co,Chicago, McCormick Place,,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,4,6,US,Illinois,Cook Co,Chicago, 233 Michigan Plaza,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,6,2,US,Illinois,Cook Co,Chicago, Daley Center,,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,3,21,US,Illinois,Cook Co,Chicago, 4217 N Ridgeway,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,4,10,US,Illinois,Cook Co,Chicago, 120 S Riverside,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,3,12,US,Illinois,Cook Co,Chicago, 6253 N Sheridan,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,3,31,US,Illinois,Cook Co,Chicago, 321 N Clark,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
KU,Birds,KUBI Ornithology Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,6,23,US,Kansas,Shawnee,Topeka; 37th St. & SW Chelisen Drive,,,,,,,,,COORDINATE_ROUNDED,,Scolopax minor,USA
MLZ,Bird specimens,MLZ Bird Collection (Arctos),PRESERVED_SPECIMEN,1,PRESENT,,2010,12,18,US,Louisiana,East Baton Rouge Parish,6885 Siegen Lane,,,,,,,,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,,Scolopax minor,USA
UMMZ,birds,"University of Michigan Museum of Zoology, Division of Birds",PRESERVED_SPECIMEN,,PRESENT,Janet Hinshaw,2010,11,5,US,Michigan,Washtenaw,Ann Arbor, University of Michigan Burton Tower,,,,,,,,COORDINATE_ROUNDED,,Scolopax minor,USA
UMMZ,birds,"University of Michigan Museum of Zoology, Division of Birds",PRESERVED_SPECIMEN,,PRESENT,Janet Hinshaw,2010,1,1,US,Michigan,Wayne,Grosse Pointe,,,,,,,,,COORDINATE_ROUNDED,,Scolopax minor,USA
UMMZ,birds,"University of Michigan Museum of Zoology, Division of Birds",PRESERVED_SPECIMEN,,PRESENT,Janet Hinshaw,2010,3,12,US,Michigan,Washtenaw,Ann Arbor, University of Michigan Burton Tower,,,,,,,,COORDINATE_ROUNDED,,Scolopax minor,USA
UMMZ,birds,"University of Michigan Museum of Zoology, Division of Birds",PRESERVED_SPECIMEN,,PRESENT,Janet Hinshaw,2010,10,21,US,Michigan,Washtenaw,Ann Arbor, University of Michigan Burton Tower,,,,,,,,COORDINATE_ROUNDED,,Scolopax minor,USA
UMMZ,birds,"University of Michigan Museum of Zoology, Division of Birds",PRESERVED_SPECIMEN,,PRESENT,Janet Hinshaw,2010,5,31,US,Michigan,Washtenaw,Ann Arbor, University of Michigan Burton Tower,,,,,,,,COORDINATE_ROUNDED,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,10,2,US,Minnesota,Lake Co,Cramer Rd,,,,,,,,,,,Scolopax minor,
MSB,Bird specimens,MSB Bird Collection (Arctos),PRESERVED_SPECIMEN,1,PRESENT,,2010,2,12,US,New Jersey,Cape May County,Cape May Point, Seagrove Avenue,,,,,,,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,,Scolopax minor,
CUMV,Bird,CUMV Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,4,5,US,New York,Tompkins,Freeville, Ed Hill Road,,,,,,,,,,Scolopax minor,USA
CMNH,Birds,CMNH Birds Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,8,31,US,Ohio,Ottawa,East Harbor State Park,,,,,,,,,,,Scolopax minor,
CMNH,Birds,CMNH Birds Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,4,28,US,Ohio,Lucas,,,,,,,,,,,,Scolopax minor,
CMNH,Birds,CMNH Birds Collection,PRESERVED_SPECIMEN,,PRESENT,,2010,6,25,US,Ohio,Erie,Kelleys Island,,,,,,,,,,,Scolopax minor,
TCWC,Birds,Biodiversity Research and Teaching Collections - TCWC Vertebrates,PRESERVED_SPECIMEN,,PRESENT,Feather sample,2010,11,12,US,Texas,Nueces,Aransas Pass,,,,,,,,,,,Scolopax minor,USA
TCWC,Birds,Biodiversity Research and Teaching Collections - TCWC Vertebrates,PRESERVED_SPECIMEN,,PRESENT,,2010,10,29,US,Texas,Galveston,Santa Fe,,,,,,,,,,,Scolopax minor,
TCWC,Birds,Biodiversity Research and Teaching Collections - TCWC Vertebrates,PRESERVED_SPECIMEN,,PRESENT,,2010,11,5,US,Texas,Bell,Tampled Scotte White Memorial Hospital,,,,,,,,,,,Scolopax minor,
CLO,GBBC,Great Backyard Bird Count,OBSERVATION,,PRESENT,,2009,2,14,US,Alabama,Macon,36075 Shorter,,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
CLO,GBBC,Great Backyard Bird Count,OBSERVATION,,PRESENT,,2009,2,16,US,Alabama,Jefferson,35068 Fultondale,,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
CLO,GBBC,Great Backyard Bird Count,OBSERVATION,,PRESENT,,2009,2,16,US,Alabama,Jefferson,35068 Fultondale,,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
CLO,GBBC,Great Backyard Bird Count,OBSERVATION,,PRESENT,,2009,2,13,US,Alabama,Tuscaloosa,35474 Moundville,,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
CLO,GBBC,Great Backyard Bird Count,OBSERVATION,,PRESENT,,2009,2,14,US,Alabama,St. Clair,35987 Steele,,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
CLO,GBBC,Great Backyard Bird Count,OBSERVATION,,PRESENT,,2009,2,16,US,Arkansas,Conway,72027 Center Ridge,,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
CLO,GBBC,Great Backyard Bird Count,OBSERVATION,,PRESENT,,2009,2,13,US,Connecticut,New London,06340 Groton,,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
YPM,VZ,"Vertebrate Zoology Division - Ornithology, Yale Peabody Museum",PRESERVED_SPECIMEN,1,PRESENT,"ORN number 141919; skull=100% ossified; body mass=176.0 g; fat=heavy; body parts=bill light brown with dark brown tip, legs cream; male; adult; personal specimen number AR 6; gonads=testes 2 x 1 mm",2009,11,23,US,Connecticut,New Haven County,,,,,,,,,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
CLO,GBBC,Great Backyard Bird Count,OBSERVATION,,PRESENT,,2009,2,14,US,Florida,Santa Rosa,32583 Milton,,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
CLO,GBBC,Great Backyard Bird Count,OBSERVATION,,PRESENT,,2009,2,13,US,Florida,Pinellas,Largo,,,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
CLO,GBBC,Great Backyard Bird Count,OBSERVATION,,PRESENT,,2009,2,13,US,Georgia,DeKalb,30319 Atlanta,,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
CLO,GBBC,Great Backyard Bird Count,OBSERVATION,,PRESENT,,2009,2,16,US,Georgia,Crawford,31050 Knoxville,,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
CLO,GBBC,Great Backyard Bird Count,OBSERVATION,,PRESENT,,2009,2,16,US,Georgia,Cherokee,30102 Acworth,,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
CLO,GBBC,Great Backyard Bird Count,OBSERVATION,,PRESENT,,2009,2,13,US,Georgia,Catoosa,30736 Ringgold,,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
CLO,GBBC,Great Backyard Bird Count,OBSERVATION,,PRESENT,,2009,2,13,US,Georgia,Oglethorpe,30671 Maxeys,,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
CLO,GBBC,Great Backyard Bird Count,OBSERVATION,,PRESENT,,2009,2,13,US,Georgia,Richmond,30909 Augusta,,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
CLO,GBBC,Great Backyard Bird Count,OBSERVATION,,PRESENT,,2009,2,16,US,Georgia,Cherokee,30102 Acworth,,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
CLO,GBBC,Great Backyard Bird Count,OBSERVATION,,PRESENT,,2009,2,14,US,Georgia,Henry,30281 Stockbridge,,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
CLO,GBBC,Great Backyard Bird Count,OBSERVATION,,PRESENT,,2009,2,14,US,Georgia,Crawford,Musella,,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
CLO,GBBC,Great Backyard Bird Count,OBSERVATION,,PRESENT,,2009,2,14,US,Georgia,Bibb,31066 Musella,,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
SEO-BirdLife,anillamientoseo,Anillamiento SEO_Bird ringing,HUMAN_OBSERVATION,,PRESENT,,2009,1,8,ES,Guipuzcoa,,Zumaia,,,,,,,,,,,Scolopax minor,ESP
CHAS,Bird specimens,CHAS Ornithology (Arctos),PRESERVED_SPECIMEN,1,PRESENT,DATA HISTORY: Inventory catalogued/verified by R. Angkuw (2010-07-18).,2009,3,22,US,Illinois,Cook County,Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago,,,,,,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,4,2,US,Illinois,Cook Co,Chicago, loop,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,10,31,US,Illinois,Cook Co,Chicago, 311 S Wacker,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,3,22,US,Illinois,Cook Co,Chicago, 77 W Jackson,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,3,25,US,Illinois,Cook Co,Chicago, Clinton, between Washington and Madison,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,3,26,US,Illinois,Cook Co,Chicago, 5456 N Damen,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,5,3,US,Illinois,Cook Co,Chicago, 321 N Clark,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,3,25,US,Illinois,Cook Co,Chicago, 3217 N Clark,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,3,10,US,Illinois,Cook Co,Chicago, Blue Cross,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,4,8,US,Illinois,Cook Co,Chicago, 233 Michigan Plaza,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,4,24,US,Illinois,Cook Co,Chicago, 1900 W Jackson,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,6,,US,Illinois,Cook Co,Chicago, 100 S LaSalle,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,4,27,US,Illinois,Cook Co,Chicago, Sears,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,3,27,US,Illinois,Cook Co,Chicago, 2330 N Spaulding,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,11,3,US,Illinois,Cook Co,Chicago, Rogers Park,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,10,16,US,Illinois,Cook Co,Chicago, Thompson Center,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,10,28,US,Illinois,Cook Co,Chicago, 121 W Wacker,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,5,16,US,Illinois,Cook Co,Chicago, Board of Trade,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,10,28,US,Illinois,Cook Co,Chicago, Daley Plaza,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,10,7,US,Illinois,Cook Co,Chicago, Hyatt Center,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,3,25,US,Illinois,Cook Co,Chicago, Sears,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,11,6,US,Illinois,Cook Co,Chicago, Clark St,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,4,2,US,Illinois,Cook Co,Chicago, 565 W Adams,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,4,16,US,Illinois,Cook Co,Chicago, AON,,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,4,8,US,Illinois,Cook Co,Chicago, 1120 S Plymouth,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,11,1,US,Illinois,Cook Co,Chicago, 150 N Clinton,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,5,27,US,Illinois,Cook Co,Chicago, Sears,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,5,7,US,Illinois,Cook Co,Chicago, 321 N Clark,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,10,24,US,Illinois,Cook Co,Chicago, Prudential 2,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,3,27,US,Illinois,Cook Co,Chicago, McCormick Place,,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,11,6,US,Illinois,Cook Co,Chicago, 10 E Ontario,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,11,1,US,Illinois,Cook Co,Chicago, Sears,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,3,23,US,Illinois,Cook Co,Chicago, 191 N Wacker,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,3,10,US,Illinois,Cook Co,Chicago, Merchandise Mart,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,10,25,US,Illinois,Cook Co,Chicago, 135 N LaSalle,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,10,31,US,Illinois,Cook Co,Chicago, 11th and Wabash,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,4,1,US,Illinois,Cook Co,Chicago, 510 W Erie,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,3,29,US,Illinois,Cook Co,Chicago, Melrose and Hoyne,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,5,9,US,Illinois,Cook Co,Chicago, 400 E Randolph,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,6,3,US,Illinois,Cook Co,Chicago, 10 S Riverside,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,10,31,US,Illinois,Cook Co,Chicago, 100 S Wacker,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,11,1,US,Illinois,Cook Co,Chicago, Montrose and Central,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,11,1,US,Illinois,Cook Co,Chicago, Franklin Center,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,3,19,US,Illinois,Cook Co,Chicago, McCormick Place,,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2009,3,24,US,Illinois,Cook Co,Chicago, 200 W Monroe,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
